pane,fragment,Rep,mfr,element,ppm
AA,4,11,A,K,1283.5
AA,4,11,A,La,4.41
AA,4,11,A,Li,2.06
AA,4,11,A,Mg,23570
AA,4,11,A,Mn,18.75
AA,4,11,A,Na,102480
AA,4,11,A,Nd,3.74
AA,4,11,A,Pb,1.133
AA,4,11,A,Rb,2.14
AA,4,11,A,Sr,32.99
AA,4,11,A,Ti,181.2
AA,4,11,A,Zr,53.79
AA,4,12,A,Al,3010
AA,4,12,A,Ba,11.59
AA,4,12,A,Ca,66230
AA,4,12,A,Ce,9.8
AA,4,12,A,Fe,701
AA,4,12,A,Hf,1.39
AA,4,12,A,K,1275
AA,4,12,A,La,4.45
AA,4,12,A,Li,2
AA,4,12,A,Mg,23910
AA,4,12,A,Mn,18.57
AA,4,12,A,Na,103780
AA,4,12,A,Nd,3.56
AA,4,12,A,Pb,1.09
AA,4,12,A,Rb,2.15
AA,4,12,A,Sr,33.06
AA,4,12,A,Ti,185.5
AA,4,12,A,Zr,53.08
AA,4,13,A,Al,2995
AA,4,13,A,Ba,11.63
AA,4,13,A,Ca,66320
AA,4,13,A,Ce,9.58
AA,4,13,A,Fe,686
AA,4,13,A,Hf,1.45
AA,4,13,A,K,1292
AA,4,13,A,La,4.55
AA,4,13,A,Li,1.85
AA,4,13,A,Mg,23790
AA,4,13,A,Mn,18.45
AA,4,13,A,Na,103420
AA,4,13,A,Nd,3.81
AA,4,13,A,Pb,1.151
AA,4,13,A,Rb,2.04
AA,4,13,A,Sr,32.44
AA,4,13,A,Ti,181.4
AA,4,13,A,Zr,54.2
AA,4,14,A,Al,3009
AA,4,14,A,Ba,11.79
AA,4,14,A,Ca,66030
AA,4,14,A,Ce,9.81
AA,4,14,A,Fe,668
AA,4,14,A,Hf,1.34
AA,4,14,A,K,1271
AA,4,14,A,La,4.4
AA,4,14,A,Li,1.88
AA,4,14,A,Mg,23800
AA,4,14,A,Mn,18.55
AA,4,14,A,Na,102900
AA,4,14,A,Nd,3.91
AA,4,14,A,Pb,1.115
AA,4,14,A,Rb,2.16
AA,4,14,A,Sr,32.52
AA,4,14,A,Ti,185.7
AA,4,14,A,Zr,54.1
AA,4,15,A,Al,3020
AA,4,15,A,Ba,11.3
AA,4,15,A,Ca,66650
AA,4,15,A,Ce,9.9
AA,4,15,A,Fe,701
AA,4,15,A,Hf,1.375
AA,4,15,A,K,1289
AA,4,15,A,La,4.47
AA,4,15,A,Li,1.73
AA,4,15,A,Mg,23860
AA,4,15,A,Mn,18.52
AA,4,15,A,Na,103890
AA,4,15,A,Nd,4.01
AA,4,15,A,Pb,1.126
AA,4,15,A,Rb,2.31
AA,4,15,A,Sr,32.9
AA,4,15,A,Ti,181.8
AA,4,15,A,Zr,55.2
AA,4,16,A,Al,2980
AA,4,16,A,Ba,11.34
AA,4,16,A,Ca,65670
AA,4,16,A,Ce,9.53
