"","x","y"
"1287",212,237
"1288",212,211
"1289",212,210
"1290",212,209
"1291",212,208
"1292",212,207
"1293",212,206
"1294",212,205
"1295",212,204
"1296",212,203
"1297",211,632
"1298",211,631
"1299",211,608
"1300",211,597
"1301",211,593
"1302",211,581
"1303",211,580
"1304",211,562
"1305",211,559
"1306",211,553
"1307",211,543
"1308",211,505
"1309",211,463
"1310",211,460
"1311",211,457
"1312",211,454
"1313",211,451
"1314",211,448
"1315",211,446
"1316",211,443
"1317",211,440
"1318",211,437
"1319",211,434
"1320",211,432
"1321",211,429
"1322",211,426
"1323",211,424
"1324",211,420
"1325",211,419
"1326",211,410
"1327",211,407
"1328",211,402
"1329",211,398
"1330",211,394
"1331",211,393
"1332",211,392
"1333",211,368
"1334",211,367
"1335",211,357
"1336",211,343
"1337",211,311
"1338",211,298
"1339",211,270
"1340",211,244
"1341",211,216
"1342",211,215
"1343",211,214
"1344",211,213
"1345",211,212
"1346",210,633
"1347",210,608
"1348",210,601
"1349",210,600
"1350",210,599
"1351",210,597
"1352",210,592
"1353",210,591
"1354",210,590
"1355",210,589
"1356",210,579
"1357",210,562
"1358",210,559
"1359",210,553
"1360",210,543
"1361",210,505
"1362",210,460
"1363",210,457
"1364",210,455
"1365",210,452
"1366",210,449
"1367",210,446
"1368",210,443
"1369",210,440
"1370",210,438
"1371",210,435
"1372",210,432
"1373",210,429
"1374",210,427
"1375",210,424
"1376",210,409
"1377",210,406
"1378",210,405
"1379",210,401
"1380",210,400
"1381",210,397
"1382",210,396
"1383",210,389
"1384",210,388
"1385",210,366
"1386",210,357
"1387",210,342
"1388",210,310
"1389",210,298
"1390",210,269
"1391",210,268
"1392",210,244
"1393",210,243
"1394",210,229
"1395",210,228
"1396",210,227
"1397",210,226
"1398",210,225
"1399",210,224
"1400",210,223
"1401",210,222
"1402",210,221
"1403",210,220
"1404",210,219
"1405",210,218
"1406",210,217
"1409",209,634
"1410",209,608
"1411",209,602
"1412",209,598
"1413",209,596
"1414",209,588
"1415",209,587
"1416",209,586
"1417",209,585
"1418",209,578
"1419",209,577
"1420",209,561
"1421",209,558
"1422",209,553
"1423",209,543
"1424",209,505
"1425",209,461
"1426",209,458
"1427",209,455
"1428",209,452
"1429",209,450
"1430",209,446
"1431",209,444
"1432",209,441
"1433",209,438
"1434",209,435
"1435",209,432
"1436",209,430
"1437",209,427
"1438",209,423
"1439",209,408
"1440",209,404
"1441",209,403
"1442",209,399
"1443",209,395
"1444",209,394
"1445",209,388
"1446",209,365
"1447",209,357
"1448",209,342
"1449",209,310
"1450",209,298
"1451",209,267
"1452",209,242
"1453",209,241
"1454",209,240
"1455",209,239
"1456",209,238
"1457",209,237
"1458",209,236
"1459",209,235
"1460",209,234
"1461",209,233
"1462",209,232
"1463",209,231
"1464",209,230
"1469",208,635
"1470",208,609
"1471",208,605
"1472",208,604
"1473",208,603
"1474",208,602
"1475",208,598
"1476",208,596
"1477",208,584
"1478",208,576
"1479",208,575
"1480",208,561
"1481",208,558
"1482",208,553
"1483",208,543
"1484",208,506
"1485",208,461
"1486",208,459
"1487",208,456
"1488",208,453
"1489",208,450
"1490",208,447
"1491",208,444
"1492",208,441
"1493",208,439
"1494",208,436
"1495",208,433
"1496",208,430
"1497",208,426
"1498",208,423
"1499",208,413
"1500",208,412
"1501",208,411
"1502",208,407
"1503",208,406
"1504",208,402
"1505",208,398
"1506",208,397
"1507",208,393
"1508",208,392
"1509",208,391
"1510",208,388
"1511",208,386
"1512",208,385
"1513",208,364
"1514",208,363
"1515",208,356
"1516",208,342
"1517",208,310
"1518",208,297
"1519",208,266
"1525",207,636
"1526",207,610
"1527",207,605
"1528",207,602
"1529",207,597
"1530",207,595
"1531",207,583
"1532",207,574
"1533",207,561
"1534",207,558
"1535",207,553
"1536",207,544
"1537",207,506
"1538",207,461
"1539",207,459
"1540",207,456
"1541",207,453
"1542",207,451
"1543",207,447
"1544",207,445
"1545",207,442
"1546",207,439
"1547",207,436
"1548",207,433
"1549",207,430
"1550",207,425
"1551",207,422
"1552",207,413
"1553",207,410
"1554",207,405
"1555",207,404
"1556",207,401
"1557",207,400
"1558",207,396
"1559",207,395
"1560",207,390
"1561",207,385
"1562",207,362
"1563",207,356
"1564",207,342
"1565",207,310
"1566",207,297
"1567",207,265
"1568",207,264
"1569",207,183
"1570",207,182
"1571",207,181
"1575",206,637
"1576",206,610
"1577",206,605
"1578",206,597
"1579",206,595
"1580",206,582
"1581",206,581
"1582",206,573
"1583",206,572
"1584",206,560
"1585",206,557
"1586",206,554
"1587",206,544
"1588",206,506
"1589",206,460
"1590",206,457
"1591",206,454
"1592",206,451
"1593",206,448
"1594",206,445
"1595",206,442
